51,299,Смоленское 			областное отделение общественной организации «Всероссийское музыкальное 			общество» (творческий союз) г. Смоленск,Смоленская 			область,"Областной 			открытый музыкально - хореографический конкурс среди детей из 			малообеспеченных семей, детей-сирот, детей, оставшихся без попечения 			родителей из детских домов и школ-интернатов Смоленской области",450 000
52,304,"Санкт-Петербургская 			региональная благотворительная общественная организация ""Общество 			русской традиционной культуры""","Санкт-Петербург, 			Ленинградская область","Международный 			фестиваль национального творчества ""Славянское древо""",350 000
53,305,"Автономная 			некоммерческая организация дополнительного профессионального образования «Центр 			профессионального обучения, переподготовки и повышения квалификации «Школа 			успеха»","Россия, 			Москва, Южный федеральный округ, Краснодарский край",«Культурно-образовательный 			проект. Кубань: от казачества до Олимпиады»,1 500 000
54,308,Псковская 			областная общественная организация «Центр устойчивого развития Псковской 			области»,"Архангельская 			область, Калужская область, Московская область, Псковская область","Общественное 			участие в создание жилищных стратегий развития территорий: Псковская, 			Калужская, Архангельская, Московская области",3 500 000
55,309,Некоммерческое 			партнерство «Экспертный Совет по интеллектуальной собственности»  г.Москва,"Четыре 			макрорегиона: (южный (Краснодарский, Ставропольский края, Северная Осетия), северный 			(Архангельская область), центральный (Калужская область) и восточный 			(Приморский край)","Разработка 			практических региональных стратегий кадрово-демографического обеспечения 			развития макрорегионов : Юг России, Северные территории, Центральный регион и 			Дальний Восток",4 000 000
56,310,Общественная 			организация « Союз женщин России»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,«Московский 			открытый фестиваль спектаклей малых форм для детей «Сказочный мир»,2 500 000
57,315,"Городская 			общественная организация ""Новосибирское философское общество""","г. 			Новосибирск, Новосибирская область, Западная Сибирь",Инновационное 			образование в развитии российского общества,300 000
58,316,"Общественное 			объединение ""Региональная национально-культурная автономия татар 			г.Волгограда и Волгоградской области""","Волгоградская 			область, г. Москва, г. Астрахань, г. Саратов",Проведение 			многонационального фольклёрно-этнографического праздника «Сабантуй»,400 000
59,325,"Региональная 			общественная организация ""Красноярский центр лечебной педагогики""","г. 			Красноярск,  Красноярский край","""В 			фокусе-дети""",600 000
60,333,"Автономная 			Некоммерческая Организация  «Центр 			социальных, образовательных и культурных программ имени братьев Бахрушиных»",Москва и 			Московская область,Социально-образовательный  проект: «Интеграция личности в 			инновационную среду самообучения»,600 000
