45,590,Автономная Некоммерческая Организация              «Редакция газеты «Югорское время»,г. Нягань              Ханты-Мансийский автономный округ-Югра УФО,«Русский эфир»,"150 000,00","гг. Нягань, Ханты-Мансийск, Югорск, р-ны Октябрьский,   Советский, Ханты-Мансийский Ханты-Мансийского автономного округа-Югра"
46,600,Детская общественная организация «Олимп Баганского района   Новосибирской области»,с. Баган             Новосибирская область             СФО,Люби и знай свой край- внедрение инновационных технологий в экологическое образование   сельских школьников(из социально   незащищенных семей),"400 000,00",Баганский район Новосибирской области
47,631,Автономная некоммерческая организация «Инновационный центр   образовательных технологий»,г.Иркутск             Иркутская область             СФО,Практическое воплощение школьниками новых знаний через   решение некоторых социальных проблем в модельном элементе инновационной   системы «Школьного технопарка»,"300 000,00","Иркутская область, г. Иркутск"
48,634,Международный гуманитарный общественный фонд «Знание» им.   академика К.В. Фролова,г. Москва             ЦФО,"Программа: «Гуманитарно-образовательная поддержка   соотечественников в молодых республиках Закавказья: республика Абхазия,   республика Южная Осетия»","3 000 000,00","Российская Федерация, Абхазия, Южная Осетия"
49,647,Приморская автономная некоммерческая организация   «Информационно-методический Центр «Тихоокеанский Проект»,г.Владивосток-87             Приморский край             ДФО,Тихоокеанская межрегиональная школа для взрослого   населения по подготовке специалистов по управлению многоквартирными жилыми   домами,"1 200 000,00","Приморский край, Сахалинская область, Камчатский край,   Хабаровский край; Еврейская автономная область; Забайкальский край,   Республика Бурятия"
50,653,Чувашское региональное отделение Всероссийской   общественной организации «Молодая Гвардия Единой России»,г. Чебоксары             Республика Чувашия             ПФО,«Создание экспериментальных стартовых площадок -   продюссерских центров по поддержке и развитию современной молодежной культуры   в регионах РФ»,"1 200 000,00","40 регионов РФ, Казахстан, Украина, Белоруссия,   Азербайджан, Германия"
51,657,Тюменское областное общественное детское движение «ЧИР»,г.Тюмень             Тюменской области             УФО,«Водное экологическое образование для школьников и   педагогов сельской местности Тюменской области»,"400 000,00","г. Тюмень, Тюменская область"
52,663,Некоммерческое партнерство «Этнографическое Бюро»,г.Екатеринбург             Свердловская область             УФО,«ЭтноКино»,"700 000,00",Уральский Федеральный Округ и сопредельные территории   (включая Ханты-Мансийский и Ямало-Ненецкий АО)
53,664,Региональная общественная организация «Сибирская   инициатива»,г. Барнаул             Алтайский край             СФО,Технологии молодёжного добровольчества как ресурс развития   местных сообществ в условиях экономического кризиса,"500 000,00",Алтайский край
54,670,Красноярская региональная организация общественной   организации общества «Знание» России (КРОООО «Знание» России) - общественная   организация,г.Красноярск             Красноярский край             СФО,«Быстрые знания» для эффективной социализации в условиях   кризиса,"700 000,00",Красноярский край
55,675,Региональная общественная творческая организация   «Акварель»,"с. Майма Майминского района, Республика Алтай СФО",«Сад камня»,"650 000,00","с. Майма, Республика Алтай"
56,683,Автономная некоммерческая организация «Институт глобализации и социальных   движений»,г. Москва             ЦФО,Развитие навыков разрешения социально-трудовых конфликтов   и споров на основе мониторинга напряженных конфликтогенных ситуаций в сфере   социально-трудовых отношений у профсоюзных и социальных лидеров и активистов,"3 000 000,00","Москва, Санкт-Петербург/Ленинградская область, Тверская,   Ярославская, Самарская, Смоленская, Новосибирская, Свердловская области"
57,701,Общероссийская общественная организация содействия решению   социальных проблем «Новое общество»,г. Москва             ЦФО,"Создание информационно-коммуникативного и обучающего   Интернет-портала для детей. Разработка и отладка методик дистанционного   раннего обучения для детей из неблагополучных и безработных семей, создание и   обеспечение функционирования точек доступа к сети Интернет для них","2 800 000,00",Российская Федерация
58,703,Республиканская общественная организация «Ассоциация   педагогических отрядов» Историко-социологического института Мордовского   государственного университета имени Н.П.Огарева,г.Саранск             Республика Мордовия             ПФО,Эффективное трудоустройство,"1 200 000,00",Республика Мордовия
59,709,Тульское региональное общественное движение содействия   социальному развитию общества «Яснополянское соглашение»,.Тула             Тульская область             ЦФО,«Школа ремонта»,"800 000,00",Тульская область
60,731,Тверское областное общественное учреждение «Дирекция   долгосрочной социальной программы «Важное дело»,г.Тверь             Тверская область             ЦФО,"«Мы хотим жить и работать в Тверской области!» (система   мероприятий с участием добровольцев по дополнительному образованию   детей-сирот идетей, родители которых   потеряли работу в условиях кризиса)","1 100 000,00",Тверская область
61,732,Санкт-Петербургская региональная благотворительная   общественная организация «Благотворительное общество «Невский Ангел»,"г. Санкт-Петербург, СЗФО",Вектор добровольчества - антикризис,"700 000,00","г. Санкт-Петербург,   Ленинградская область, гг.             Москва, Казань, Тверь, Краснодар, Ставрополь, Нижний Новгород, Самара,   Петрозаводск, Оренбург, Липецк, Иваново"
62,751,Ивановское областное отделение общероссийского   общественного благотворительного фонда «Российский детский фонд»,г.Иваново             Ивановская область             ЦФО,"«Адресная поддержка граждан, потерявших работу в   результате негативного изменения экономической ситуации в городах Вичуга,   Комсомольск, Заволжск Ивановской области»","8 037 000,00","Ивановская область – гг. Вичуга, Комсомольск, Заволжск"
