188,"Местная 			общественная молодежная организация ""Объединение студентов Кировско - 			Апатитского района""",Мурманская 			область,"""Где 			родился - там и пригодился""","100 000,00"
190,"Религиозная 			организация Православное Братство ""РАДОНЕЖ"" Русской Православной 			Церкви",г. Москва,"Международный 			Фестиваль теле- и радиопрограмм ""РАДОНЕЖ""","1 500 000,00"
191,"Ставропольское 			краевое отделение Всероссийской общественной организации ""Всероссийское 			общество охраны памятников истории и культуры""",Ставропольский 			край,"""Южные 			рубежи россии""","700 000,00"
192,"Санкт-Петербургская 			благотворительная общественная организация ""Душа ребёнка""",Санкт-Петербург,"""История 			Российского флота в музеях Санкт- Петербурга""","150 000,00"
195,Амурская 			региональная молодежная общественная организация,Амурская область,Поддержка и 			развитие молодежного творческого движения региона,"445 000,00"
196,"Общественная  благотворительная организация 			""Санкт-Петербургский Совет Мира и Согласия""",Санкт-Петербург,"""Диалог 			религий и культур - путь к миру и согласию""","900 000,00"
199,"Волгоградская 			региональная общественная организация ""Клуб Парнас""",Волгоградская 			область,Спасение 			российских библиотек,"500 000,00"
203,"Волгоградская 			региональная общественная организация творческой молодежи ""Новая 			лодка""",Волгоградская 			область,Школа авторской 			песни,"500 			000,00"
208,"Липецкая 			областная общественная организация ""Общество им. И.А. Бунина""",Липецкая область,Изготовление макета и 			тиражирование Бунинской Энциклопедии в 2-х томах,"500 			000,00"
214,"Нижегродская 			областная общественная организация ""Крепкая Семья""",Нижегородская 			область,"""Крепка 			семья - крепка держава"" - фестиваль семейного творчества","500 000,00"
215,"НКО 			""Международный благотворительный фонд ""Откроем мир детям""",Санкт-Петербург,Применение новых 			информационных технологий в целях всестороннего образования и саморазвития 			детей-сирот в детских домах и приютах и детей с ограниченными физическими 			возможностями,"1 000 000,00"
217,"Вологодское 			региональное отделение общероссийского общественного благотворительного фонда 			""Российский детский фонд""",Вологодская 			область,"""Научись 			быть гражданином""","200 000,00"
219,"Карельская 			региональная организация ВТОО ""Союз художников России"" - 			общественная организация",Республика 			Карелия,"""АКВАБИЕННАЛЕ 			2008"" - 3я международная выставка акварельной живописи","300 000,00"
220,"Карельская   региональная общественная организация 			""Общество ""Знание"" РК""",Республика 			Карелия,Школа  для будущего,"400 000,00"
224,Новгородский 			региональный общественный Фонд содействия некоммерческим проектам,Новгородская 			область,"""Вечно 			НОВыйГОРОД!"". Международная молодежная творческая сессия для дизайнеров.","500 000,00"
231,"Некоммерческая 			организация  Фонд ""Всемирная 			Энциклопедия Путешествий""",г. Москва,"Образовательно-просветительский 			проект ""Школа Следопытов""","700 000,00"
236,Федеральная 			национально-культурная автономия татар,Республика 			Татарстан,IV Международный 			фестиваль татарской песни имени Рашита Вагапова,"800 000,00"
240,"Автономная 			некоммерческая организация ""Дом народных ремесел""",Республика 			Мордовия,Межрегиональный 			фестиваль творчества молодежи и студентов,"300 000,00"
242,"Автономная 			некоммерческая организация Фонд гуманитарного развития ""Открытая 			Мордовия""",Республика 			Мордовия,Детское чтение,"300 			000,00"
249,"Курская 			областная общественная организация Общества ""Знание"" России",Курская область,Молодые обучают молодых,"500 			000,00"
251,Ивановская  областная  			общественная организация ветеранов военной службы,Ивановская 			область,"""Морские 			кадеты""","300 			000,00"
252,"Курское 			региональное отделение Общероссийской общественной организации ""Союз 			писателей России""",Курская область,"Творческая учеба молодых 			литераторов Курской области, как важная состав-ляющая 			нравственно-патриотического становления гражданского общества","300 			000,00"
254,"Региональный 			общественный благотворительный фонд ""Московский детский фонд""",г. Москва,"""Послания 			детства""  (V-й Международный 			фестиваль экранного творчества ""Московские каникулы"" 27 мая -1 июня 			2008 г.)","550 000,00"
267,"Некоммерческое 			партнерство ""Палата ремесел""",Тамбовская 			область,"""Живи, 			глубинка!""","450 000,00"
274,Межрегиональный 			благотворительный фонд помощи заключенным,г. Москва,"""Территория 			партнерства 2008""","3 500 000,00"
275,"Челябинской 			региональная общественная организация ""Молодежная палата""",Челябинская 			область,"""Школа 			Гражданственности""","700 000,00"
277,"Общероссийская 			Общественная организация "" Конфедерация деловых женщин России""",г. Москва,"""Образовательный 			проект: в области электронной экономики  			для женщин-предпринимателей, работающих в секторе оказания 			негосударственных социальных услуг населению""","3 800 000,00"
279,"Региональная 			общественная организация ""Московский центр непрерывного образования 			взрослых""",г. 			Москва,Психологическое 			сопровождение семьи,"1 			000 000,00"
281,"Международный 			союз общественных объединений ""Международный ""Общественно - 			Экономический Союз (женщин)""",г. Москва,"""Программа в области 			культуры между общественными  			организациями России и Арабского мира""","3 			300 000,00"
284,"Негосударственное 			образовательное учреждение высшего профессионального образования 			""Санкт-Петербургский Гуманитарный университет профсоюзов""",Санкт-Петербург,Обучение 			профсоюзных кадров и актива на базе,"2 000 000,00"
286,"Региональное 			общественное движение ""Конгресс петербургской интеллигенции""",Санкт-Петербург,VIII 			Международные Лихачевские научные чтения,"2 500 000,00"
