Реестр	Уч.№	Наименование	ОГРН	Дата ОГРН	Адрес	Форма	Регион	Статус				
Общественные объединения	0512010099	"Региональная Общественная Организация ""Союз предпринимателей и инициативных граждан Республики Дааааагестан"""	1110500000093	16.02.2011	г.Махачкала, ул. И. Шамиля, дом. 4, кв. 	4	Общественная организация	Республика Дагестан	Зарегистрирована			
Некоммерческие организации	1014100056	"Садоводческое некоммерческое товарищество ""Светофор"""	1021001118489	20.11.2002	Республика Карелия, Прионежский р-он, 8-км. от ст. Деревянка, оз. Лебяжье почт. адрес	 186034 г. Петрозаводск, ул. Сусанина, д. 22, кв. 31	Садоводческие, огороднические, дачные и иные некоммерческие товарищества	Республика Карелия	Исключена			
Некоммерческие организации	1014100042	"Садоводческое некоммерческое товарищество ""Ветеран-2"""	1021001119798	10.12.2002	"Республика Карелия, Прионежский р-он, ур. ""Рабочий поселок"""	  почтовый адрес г.Петрозаводск, ул.Жуковского, 12а, кв.63	Садоводческие, огороднические, дачные и иные некоммерческие товарищества	Республика Карелия	Исключена			
Общественные объединения	1112110250	Территориальная объединенная профсоюзная организация Микуньского управления лесных исправительных учреждений М-222 Министерства юстиции Российской Федерации	 Объединенная профсоюзная организация Управления Федеральной службы исполнения наказаний по Республике Коми (с 30.03.07 г.)	1021100002989	25.11.2002	169040, Республика Коми, Усть-Вымский район, г. Микунь, ул. Поинерская, д. 32	Профессиональный союз	Республика Коми	Исключена			
Религиозные организации	1311010088	Местная религиозная организация православный Приход церкви святителя Игнатия Брянчанинова р.п. Кадошкино Кадошкинского района Республики Мордовия Саранской и Мордовской Епархии Русской Православной Церкви (Московский Патриархат)		1031322001545	16.01.2003	431420, Республика Мордовия, Кадошкинский район, р.п. Кадошкино, ул. Гражданская д. 1 а		Религиозная организация	Республика Мордовия	Зарегистрирована		
Религиозные организации	1311010016	Местная религиозная организация православный Приход Михайло-Архангельской церкви с. Ширингуши Зубово-Полянского района Республики Мордовия Краснослободской Епархии Русской Православной Церкви (Московский Патриархат)	1021300010181	30.12.2002	431141, Республика Мордовия, Зубово-Полянский район, с. Ширингуши, ул. Рабочая, д. 75		Религиозная организация	Республика Мордовия	Зарегистрирована			
Религиозные организации	1311010097	Местная религиозная организация православный Приход Христорождественской церкви с. Гумны Краснослободского района Республики Мордовия Краснослободской Епархии Русской Православной Церкви (Московский Патриархат)	1021300005781	07.12.2002	431816, Республика Мордовия, Краснослободский район, с. Гумны, ул. Чкалова, д. 24 «б»		Религиозная организация	Республика Мордовия	Зарегистрирована			
Некоммерческие организации	1414160059	Фонд родителей учащихся школы № 4	1041400600801	23.11.2004	678144 Саха /Якутия/ Респ Ленский у  Ленск г Ленина ул д.59  Тел: (41137) 42600	   Факс:  42600	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414030085	"Некоммерческое партнерство ""Гильдия производителей бриллиантов и ювелирных изделий Республики Саха (Якутия)"""	1051402172810	17.08.2005	677000 Саха /Якутия/ Респ   Якутск г Курашова ул д.30 корп.4  320086	   Факс:  320086	Некоммерческое партнерство	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414060016	Ассоциация негосударственных пенсионных фондов   Дальнего Востока и Сибири	1051402141845		677000 Саха /Якутия/ Респ   Якутск г Орджоникидзе ул д. 34/2  Тел: (4121) 343005	   Факс:  343005	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414040090	"Негосударственное учреждение начального профессионального образования учебно-курсовой комбинат ""Дорстройкомплект-К"""	1021400968170	05.06.2002	678170 Саха /Якутия/ Респ Мирнинский у  Мирный ул. Бабушкина, д. 44  (41136) 91208	   Факс:  45130	Учреждение	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414030087	"Некоммерческое партнерство ""Институт профессиональных бухгалтеров Республики Саха (Якутия)"""	1021401045720	01.11.2001	677000 Саха /Якутия/ Респ   Якутск г Курашова ул д.30 корп.1 203 Тел: (4112) 421011	   Факс:  421011	Некоммерческое партнерство	Республика Саха (Якутия)	Зарегистрирована			
Общественные объединения	1412110789	"Профсоюзная организация работников ООО ""Дабайан"""	" ООО ""Дабайан-торг"""	" ООО ""Сахатранслес"""	" КПК ""Долун"""	1021400003052	19.11.2002	ул. Сафронова 71/1	Профессиональный союз	Республика Саха (Якутия)	Исключена	
Некоммерческие организации	1414160026	(ФНС) Фонд поддержки малого предпринимательства Амгинского улуса Республики Саха (Якутия)	1021400565780	25.05.2000	678600 Саха /Якутия/ Респ Амгинский у Амга с  Партизанская ул д.69  Тел: (8242) 41260	   Факс:  41260	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160006	"Частное общеобразовательное учреждение  ""Российско-американская школа"""	1021400970854	15.12.2002	678170 Саха /Якутия/ Респ Мирнинский у  Мирный г Ленина ул д.4  1 тел.(41136) 44498	   Факс:  43102	Учреждение	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414060030	"Некоммерческая организация ""Ассоциация развития игорного бизнеса Республики Саха (Якутия)"""	1041402034695	16.04.2004	677000 Саха /Якутия/ Респ   Якутск г Октябрьская ул д.20 корп.1 404  Тел: (4112) 702540	   Факс:  341940	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414060012	"Ассоциация кредитных кооперативов Республики Саха (Якутия) ""Сияние Севера"""	1031402072371	10.12.2003	677000 Саха /Якутия/ Респ   Якутск г Ярославского ул д.30 корп.1 3  446327	   Факс:  445195	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414060020	"Ассоциация потребительских ипотечных кооперативов Республики Саха (Якутия) ""Доступное жилье"""	1061435022582	10.03.2006	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.17  501  341961	   Факс:  341961	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160030	Фонд поддержки малого предпринимательства Оймяконского улуса	1021400792984	09.11.2002	678730 Саха /Якутия/ Респ Оймяконский у Усть-Нера пгт  Коммунистическая ул д.13  Тел: (41154) 21084	   Факс:  21168	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414010084	"Районный фонд ""Правопорядок"""	1021400861680	08.07.1993	678720 Саха /Якутия/ Респ Томпонский у Хандыга пгт   д.15, Тел: (253) 41160	   Факс:  41160	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160121	Усть-Алданский фонд охраны природы	1021400878400	15.05.1995	678350 Саха /Якутия/ Респ Усть-Алданский у Борогонцы с  Строителей ул д.27 корп.1 -Тел: (261) 21441	   Факс:  21441	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414010130	Фонд Солидарности Федерации профсоюзов Республики Саха (Якутия)	1021400000643	12.10.2002	677000 Саха /Якутия/ Респ   Якутск г Курашова ул д.24  240870	   Факс:  422072	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414010076	"Некоммерческая организация ""Фонд поддержки малого предпринимательства Вилюйского улуса"""	1021400642845	28.12.2002	678200 Саха /Якутия/ Респ Вилюйский у  Вилюйск г Аржакова С. ул д.10  Тел: (41132) 42982	   Факс:  42982	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160292	"Негосударственное образовательное учреждение дополнительного профессионального образования Учебный центр ""Безопасность"""	1041402039282	08.06.2004	677000 Саха /Якутия/ Респ   Якутск , ул. Пирогова д 1, оф. 24 тел: (84112) 215-091		Учреждение	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414030074	"Некоммерческое Партнерство ""АССОЦИАЦИЯ АВТОМОБИЛЬНЫХ ПЕРЕВОЗЧИКОВ ЯКУТИИ"""	1021401004921	11.09.2002	678966 Саха /Якутия/ Респ   Нерюнгри г Мира пр-кт д.15 корп.1 16 Тел: (41147) 63888		Некоммерческое партнерство	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160342	"объединение юридических лиц - ""Ассоциация службы быта"""	1021401069931	31.01.1997	677027 Саха /Якутия/ Респ   Якутск г Кирова ул д.30  Тел: (4112) 433915	   Факс:  433915	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160301	"(ФНС) Международный фонд ""Наши дети"""	1021401070646	25.12.2002	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.11 корп.1 40, Тел: (4112) 242433	   Факс:  242433	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160290	"Негосударственное (частное) некоммерческое образовательное учреждение дополнительного профессионального образования ""Учебно-производственный центр подготовки персонала энергетики"""	1041402060743	11.10.2004	677004 Саха /Якутия/ Респ   г.Якутск, ул.Кржижановского,  д.2,  Тел: (4112) 497603	   Факс:  497686	Учреждение	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160427	"""Союз дорожников Республики Саха (Якутия)"""	1041402030867	10.03.2004	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.22  205  Тел: (4112) 343394	   Факс:  343394	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160028	Фонд поддержки малого предпринимательства Намского улуса	1021400755892	21.10.2002	678380 Саха /Якутия/ Респ Намский у Намцы с  Октябрьская ул д.1  Тел: (41126) 21487	   Факс:  21487	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414010078	"Жилищный фонд ""Дьулуур"" Намского улуса"	1021400756190	04.12.2002	678380 Саха /Якутия/ Респ Намский у Намцы с  С.Платонова ул д.28  Тел: (41162) 21362	   Факс:  21362	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414060011	"Некоммерческое партнерство ""Ассоциация консультантов, финансистов и аудиторов"""	1051402190707	05.10.2005	677000 Саха /Якутия/ Респ   Якутск г Белинского ул д.44  26   Тел: (4112) 366345	   Факс:  366345	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414060022	Ассоциация представительных органов местного самоуправления муниципальных образований Республики Саха (Якутия)	1031402056840	18.07.2003	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.15  300  423189	   Факс:  425064	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414010109	Государственный фонд поддержки малого предпринимательства Чурапчинского улуса	1021400921002	22.10.1999	678670 Саха /Якутия/ Респ Чурапчинский у Чурапча с  Ленина ул д.41 Тел: (251) 41480	   Факс:  0	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160131	Фонд материальной помощи малоимущим семьям в погребении пенсионеров г. Нерюнгри	1031401722880	30.05.2003	678960 Саха /Якутия/ Респ   Нерюнгри г Аммосова ул д.2 корп.2 -----Тел: (41147) 65690	   Факс:  65690	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160129	"(ФНС) Фонд ""Килэнки кэскилэ"""	1021400921013	11.02.2008	678675 Саха /Якутия/ Респ Чурапчинский у Килянки с   д.- корп.- -Тел: (251) 23614	   Факс:  0	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414010132	"""Фонд развития малого предпринимательства Республики Саха (Якутия)"""	1061400016226	03.07.2006	677000 Саха /Якутия/ Респ   Якутск г Орджоникидзе ул д.20  Тел: (4112) 242633	   Факс: 425239	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160344	"Некоммерческое партнерство ""Ассоциация юристов Республики Саха (Якутия)"""	1051402196933	28.10.2005	677000 Саха /Якутия/ Респ   Якутск г Орджоникидзе ул д.3 корп.1 435100	   Факс:  435116	Некоммерческое партнерство	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414060018	"Ассоциация ""Объединение работодателей строительного комплекса города Якутска"""	1031402048810	09.04.2003	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.17  Тел: (4112) 420307	   Факс:  420307	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160019	Фонд поддержки Учреждекния ЯД 40/3 УИН МЮ РФ по РС(Я)	1021400944784	28.06.2002	678021 Саха /Якутия/ Респ Хангаласский у Бестях с  Назарова ул д.35  29321	   Факс:  43951	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050205	"Автономная некоммерческая организация начального профессионального образования ""Учебно-производственный центр ""Недра"""	1081400000681	12.05.2008	г. Якутск, ул. Дзержинского д 15 корп 1, кв 38	 89246617898	Автономная некоммерческая организация	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414040076	"(ФНС) Негосударственное образовательное учреждение начального профессионального образования Школа парикмахерского искусства ""Алсу"""	1051402032659	27.01.2005	677000 Саха /Якутия/ Респ   Якутск г Октябрьская ул д.35 корп.1 1, Тел.:353988	   Факс:  726659	Учреждение	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160128	Фонд инновационных программ муниципального образования Верхневилюйский улус (район)	1031400310611	27.02.2003	678230 Саха /Якутия/ Респ Верхневилюйский у Верхневилюйск с  Ленина ул д.5 корп.9 3Тел: (41133) 41309	   Факс:  41309	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160188	Фонд охраны лесов Горного улуса	1041400497577	22.07.2004	678030 Саха /Якутия/ Респ Горный у Бердигестях с  С.Данилова ул д.3  Тел: (231) 21161	   Факс:  21091	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414060032	"Республиканский Союз сельскохозяйственных потребительских кредитных кооперативов Республики Саха (Якутия) ""Салгабыл"""	1021401046314	31.07.2002	677000 Саха /Якутия/ Респ   Якутск г Курашова ул д.28  516  422309	   Факс:  241862	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160326	"Некоммерческая организация ""Якутский республиканский фонд создания и развития поисково-спасательных служб и социальной защиты спасателей и ветеранов министерства по чрезвычайным ситуациям"""	1021401044807	16.07.2002	677000 Саха /Якутия/ Респ   Якутск г Лермонтова ул д.22 корп.1 Тел: (4112) 454030	   Факс:  455494	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414030098	"Некоммерческое партнерство ""Объединение предприятий строительной отрасли"""	1051402169280	09.08.2005	677000 Саха /Якутия/ Респ   Якутск г Петра Алексеева ул д.19 корп.3 365929	   Факс:  345000	Некоммерческое партнерство	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160057	"Фонд ""Республиканский фонд поддержки юношеского бокса имени Артура Федоровича Кравченко"""	1051402170907	15.08.2005	677015 Саха /Якутия/ Респ   Якутск г Петра Алексеева ул д.93  Тел: (4112) 448383	   Факс:  448375	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050123	"Автономная некоммерческая организация ""Совет молодежи Амгинского улуса"" по реализации молодежной политики в Амгинском улусе"	1061404000822	15.03.2006	678600 Саха /Якутия/ Респ Амгинский у Амга с Строда ул д.64,  Тел: (41142) 41543	   Факс:  41558	Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414030070	"Некоммерческое партнерство ""Нерюнгринский Союз промышленников и товаропроизводителей"""	1021401009189	25.12.2002	678960 Саха /Якутия/ Респ   Нерюнгри г Аммосова ул д.2 корп.2 Тел: (41147) 62067	   Факс:  65690	Некоммерческое партнерство	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414030078	"Авиационное некоммерческое партнерство ""Тойон"""	1031402025764	29.03.2000	677014 Саха /Якутия/ Респ   Якутск г Быковского ул д.6   433667	   Факс:  459080	Некоммерческое партнерство	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160037	Фонд поддержки объектов жизнеобеспечения Олекминского улуса в непредвиденных и чрезвычайных ситуациях	1021400806877	02.08.1999	678100 Саха /Якутия/ Респ Олекминский у  Олекминск г Спасская ул д.34  Тел: (238) 21646	   Факс:  21523	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160058	"""Фонд родителей учащихся и выпускников средней общеобразовательной школы № 1 г. Ленска Республики Саха (Якутия)"""	1051400600790	22.06.2005	678144 Саха /Якутия/ Респ Ленский у  Ленск г Каландарашвили ул д.16  Тел: (41137) 42030	   Факс:  42030	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414050141	"Автономная некоммерческая организация ""Эколог"""	1051400602648	21.09.2005	678144 Саха /Якутия/ Респ Ленский у  Ленск г Ленина ул д.64  3, Тел: (41137) 41563	   Факс:  42685	Автономная некоммерческая организация	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160041	Фонд поддержки спорта высших достижений Республики Саха (Якутия)	1021401061428	09.11.1995	677027 Саха /Якутия/ Респ   Якутск г Лермонтова ул д.64 корп.1 433649	   Факс:  433649	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160036	Фонд поддержки национальных школ	1021401075442	19.02.1996	678730 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.3  201тел. 241832	   Факс:  420855	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050114	"Автономная некоммерческая организация ""Редакция журнала ""Илин"""	1021401057732	30.10.2002	677000 Саха /Якутия/ Респ   Якутск г Орджоникидзе ул д.31 Тел: (4112) 451011	   Факс:  420950	Автономная некоммерческая организация	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414060021	Ассоциация предприятий жилищно-коммунального хозяйства Республики Саха (Якутия)	1021401058326	25.04.1995	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.42  Тел: (8243) 41646	   Факс:  41320	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160234	"Фонд ""Городской фонд поддержки предпринимательства"""	1021401058997	12.04.1999	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.10  16 241130	   Факс:  341130	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050149	"Ассоциация крестьянских хозяйств ""Аргыс"" Таттинского улуса"	1051401141923	28.01.2005	678650 Саха /Якутия/ Респ Таттинский у Ытык-Кюель с  Ленина ул д.44  Тел: (252) 41168	Факс:  41523	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160008	"Фонд ""Якутский инкубатор бизнеса и технологий"""	1031402029603	17.11.1998	677013 Саха /Якутия/ Респ   Якутск г Кулаковского ул д.48  609Тел: (4112) 2535902	   Факс:  253593	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414060027	"Ассоциация старательских артелей Республики Саха (Якутия) ""Золотой союз"""	1021401075486	23.11.1995	677027 Саха /Якутия/ Респ   Якутск г Лермонтова ул д.53 корп.2 1 Тел: (4112) 420855	   Факс:  241832	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160303	Научно-методический фонд поддержки Якутского торгово-экономического колледжа потребительской кооперации	1021401075860	24.06.1997	677007 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.50  тел. 261653	   Факс:  261653	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050155	"Автономная некоммерческая организация ""Редакция общественной газеты ""Туймаада саната"""	1021401074530	02.03.1999	677000 Саха /Якутия/ Респ   Якутск г Каландарашвили ул д.5  тел:454405		Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414030093	"Некоммерческое партнерство Консалтинговый центр "" Аякс"""	1021401074617	17.10.2000	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.28  405  Тел: (4112) 712709	   Факс:  442477	Некоммерческое партнерство	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414060024	Ассоциация профессионалов ландшафтной индустрии Якутии	1051402094908	19.05.2005	677000 Саха /Якутия/ Респ   Якутск г Хабарова ул д.17 корп.1 1  333372	   Факс:  333372	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160173	"Автономная некоммерческая организация Научно-инновационная фирма ""ИнноТех"""	1031402068048	25.10.2003	677013 Саха /Якутия/ Респ   Якутск г  Петровского,2 ул.	 89246618823	Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160124	"(ФНС) Фонд ""ДОБУН"" по реализации проекта ""Северный автоотель"""	1031402027986	24.01.1997	677000 Саха /Якутия/ Респ   Якутск г Крупской ул д.19  317, Тел: (84112) 2535902	   Факс:  53593	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160022	"Некоммерческая организация ""Фонд поддержки деятельности Якутского городского лицея в области образования, культурного и физического воспитания детей"""	1021401065510	23.06.2000	677000 Саха /Якутия/ Респ   Якутск г Ярославского ул д.14  Тел: (4112) 450345	   Факс:  422420	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414010095	"Благотворительный фонд по содействию культуре и искусству РС(Я) ""ЭЛЛЯЙ"""	1021401065883	29.12.1999	677000 Саха /Якутия/ Респ   Якутск г Ново-Покровский тракт 7 км ул д.3  702600	   Факс:  331226	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160353	"(ФНС) Неправительственный экологический фонд ""Лена Лэнд"""	1021401066830	15.04.2002	677000 Саха /Якутия/ Респ   Якутск г Ново-Покровский тракт 7 км ул д.3   тел 702600	   Факс:  331226	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050107	"Автономная некоммерческая организация ""Объединение санаторно-курортных учреждений Республики Саха (Якутия) ""Якуткурорт"""	1021401067346	08.05.2002	677027 Саха /Якутия/ Респ   г.Якутск, ул. Петра Алексеева,  д.89,  Тел: (4112) 432413	   Факс:  432001	Автономная некоммерческая организация	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414040081	"Негосударственное образовательное учреждение ""Учебный Тренинг-центр""ЭСТ"""	1021401062870	21.07.2000	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.39  Тел: (4112) 446176	   Факс:  445953	Учреждение	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414010065	Фонд поддержки малого предпринимательства г.Нерюнгри	1021401009453	28.12.2002	678960 Саха /Якутия/ Респ   Нерюнгри г Дружбы Народов пр-кт д.21  Тел: (41147) 44500	   Факс:  44500	Некоммерческий фонд	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414050100	"Автономная некоммерческая организация ""Лабораторное дело"""	1021401059998	11.12.2001	677027 Саха /Якутия/ Респ   Якутск г Ойунского ул д.9  Тел:251889	   Факс:  320597	Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160319	"Некоммерческое партнерство  ""женский хоккейный клуб ""Энергия"""	1061434002013	02.02.2006	"678995 Саха /Якутия/ Респ  Серебряный Бор пгт Нерюнгри г    ДХК ""Энергия"" 79118"	   Факс:  49570	Некоммерческое партнерство	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414050135	"Автономная некоммерческая организация ""Центр гражданских инициатив"""	1061426001493	12.04.2006	678720 Саха /Якутия/ Респ Томпонский у Хандыга пгт  Егора Кычкина ул д.1  221, Тел: (253) 42664	   Факс:  41277	Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160337	"Некоммерческое добровольное объединение ""Ассоциация представительных органов и глав муниципальных образований на поселенческом уровне Республики Саха (Якутия)"""	1051402251119	27.12.2005	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.15  106  Тел: (4112) 421421	   Факс:  421421	Объединения (союз, ассоциация) юридических лиц	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160130	"Автономная некоммерческая организация Детский культурный реабилитационный центр ""Айхал"""	1021401069667	12.07.2001	677008 Саха /Якутия/ Респ   Якутск г Каландарашвили ул д.31  Тел: (4112) 253372	   Факс:  263884	Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414010127	"Некоммерческая организация ""Фонд инновационных программ Вилюйского улуса"""	1031400430710	18.02.2003	678200 Саха /Якутия/ Респ Вилюйский у  Вилюйск г Аржакова С. ул д.10  Тел: (41132) 42982	   Факс:  42982	Некоммерческий фонд	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414050111	"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ПРОФИЛАКТИКА"""	1031400781719	27.01.2003	678860 Саха /Якутия/ Респ Момский Национальный у Хонуу с  Молодежная ул д.8 корп.1,  Тел: (00250) 0021402	   Факс:  0021302	Автономная некоммерческая организация	Республика Саха (Якутия)	Исключена			
Некоммерческие организации	1414160347	"""Региональная ассоциация предприятий топливно-энергетического комплекса Республики Саха (Якутия)"""	1021401072703	04.02.2002	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.3 корп.1 520  Тел: (4112) 242788	   Факс:  242788	Ассоциация экономического развития	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414050133	"Автономная некоммерческая организация Федерация боевых искусств ""Ген-Син-Кан"" (Дом Северной Души)"	1021401072989	12.08.1997	677000 Саха /Якутия/ Респ   Якутск г Каландарашвили ул д.25 корп.6, кв. 6 Тел: (4112) 368611	   Факс:  425990	Автономная некоммерческая организация	Республика Саха (Якутия)	Зарегистрирована			
Некоммерческие организации	1414160387	"Некоммерческое партнерство ""Союз фотохудожников Республики Саха (Якутия)"""	1031402045597	21.02.2003	677000 Саха /Якутия/ Респ   Якутск г Ленина пр-кт д.42  ел: (4112) 320986	   Факс:  320986	Некоммерческое партнерство	Республика Саха (Якутия)	Исключена			
