Реестр	Уч.№	Наименование	ОГРН	Дата ОГРН	Адрес	Форма	Регион	Статус				
Некоммерческие организации	2214090066	"Товарищество собственников жилья ""Никитинский"""	1022201767125	10.11.2002	Никитина, 114-1,  656049	Товарищество собственников жилья	Алтайский край	Исключена				
Некоммерческие организации	2814090106	"Товарищество собственников жилья ""Томичи"""	1072800002110	26.12.2007	676834 Амурская область Белогорский район с.Томичи ул.Комсомольская, 4 офис 2(юридический),  ул. Строителей, 7 (фактический)	Товарищество собственников жилья	Амурская область	Исключена				
Общественные объединения	3012061182	"Астраханское региональное отделение Общероссийской политической партии "" Партия развития регионов "" Природа и Общество"""	1033002815889	26.12.2003	Советская ул,  д. 36, кв. 90	Политическая партия	Астраханская область	Исключена				
Общественные объединения	3012010218	"Астраханская региональная общественная организация ""Спортивный клуб ""ЛОТОС"""	1093000000235	25.03.2009	Астраханская область,   Наримановский район,  с.Солянка,  Пролетарская ул., д.12.	Общественная организация	Астраханская область	Зарегистрирована				
Общественные объединения	3112010275	"Белгородское региональное отделение политической общественной организации ""Российское Земское Движение"""			Богдана Хмельницкого проспект, д. 139, Белгород г.,Белгородская обл., 308010	  с 05.04.1999 года юр. адрес изменен :Богдана Хмельницкого проспекТ,д. 86, корп.Б, комн.20, Белгород г., Белгородская обл., 308007	Общественная организация	Белгородская область	Исключена			
Общественные объединения	3112062790	"Белгородское региональное отделение политической партии ""Либерально-демократическая партия России"""	1023100001517	30.10.2002	Юридический адрес: г. Белгород, ул. Дзгоева, 4	  Фактический адрес: 308036 г. Белгород, бульвар Юности, д. 19.	Политическая партия	Белгородская область	Зарегистрирована			
Общественные объединения	3212111290	Первичная организация Профсоюза центра госсанэпиднадзора Брянской области			241000	 2-ой Советский пер. 5-а	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212020058	"Брянское региональное отделение Общероссийского политического общественного движения ""Народный депутат"""			241000	 пр-т. Ленина, д. 37	Общественное движение	Брянская область	Исключена			
Общественные объединения	3212110480	"Первичная профсоюзная организация Гордеевского филиала государственного унитарного предприятия ""Брянскоблводоканал"" Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий"			243140	Брянская область , Гордеевский район, с. Гордеевка,  ул. Ленина, д.9	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110436	"Первичная профсоюзная организация Севского филиала государственного унитарного предприятия ""Брянскоблэнерго "" Общероссийского профсоюза рабочих местной промышленности и коммунально бытовых предприятий"			242440	г. Севск, ул. С. Щедрина, д. 43	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110440	"Первичная профсоюзная организация ""Трубчевское многоотраслевое управление жилищно-коммунального хозяйства"" профсоюза рабочих местной промышленности и коммунально-бытовых предприятий"	1033200001608	28.08.2003	242220, Брянская область	 Трубчевский район, г. Трубчевск, ул. Брянская, д. 71	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212020335	"Брянское региональное отделение Общероссийского общественного движения - Федерация ""Семьи за единство и мир во всём мире"""			241000	 ул. Калинина, 34	Общественное движение	Брянская область	Исключена			
Общественные объединения	3212111115	"Первичная профсоюзная организация открытого акционерного общества ""Брянсктрубопроводстрой"" общероссийского профсоюза работников нефтяной промышленности и строительства"	1033200003066		241020	 ул. 2-ая Аллея, 12-а	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110487	"Первичная профсоюзная организация Погарского филиала государственного унитарного предприятия ""Брянскоблводоканал"" Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий."			243550	 ул. Советская, д.7	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212111122	Первичная профсоюзная организация Рогнединского районного узла почтовой связи	1033200004639	29.06.1999	242750	 ул. Ленина, д. 68	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110326	"Первичная профсоюзная организация открытого акционерного общества Новозыбковской передвижной механизированной колонны ""Газстрой"" профсоюза работников местной промышленности и коммунально-бытовых предприятий."	1033200006718	10.02.2003	243240	 ул. Ленина, д. 109	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110330	Первичная профсоюзная организация Стародубского производственного управления жилищно-коммунального хозяйства профсоюза работников местной промышленности и коммунально-бытовых предприятий.			243240	 Брянская обл., Стародубский р-н, г. Стародуб, ул. Краснооктябрьская, д. 92 а	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110904	Первичная профсоюзная организация Навлинского муниципального предприятия  многоотраслевого управления жилищно-коммунального хозяйства профсоюза рабочих местной промышленности и коммунально-бытового хозяйства.	1033200004089	04.02.2003	242130	 Брянская обл., Навлинский р-н, п. Навля, пер. Д. Емлютина, д. 2.	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110453	Первичная профсоюзная организация Клинцовского арендного предприятия по бытовому обслуживанию сельского населения района Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий   В процессе ликвидации (ст.21.1)	1033200001317	27.01.2003	243100	 ул. Мира, д. 106	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212111021	Первичная профсоюзная организация Общества с ограниченной ответственностью социально-реабилитационного предприятия Всероссийского общества глухих г. Клинцы Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий.	1023200001252	18.10.2002	243100	Брянская область ,  Клинцовский р-н, г. Клинцы, ул. Ворошилова, д. 9	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110327	"Первичная профсоюзная организация государственного унитарного предприятия ""Брянские межрайонные электрические сети""-дочернее предприятие государственного унитарного предприятия ""Брянскоблжилкомхоз"" Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий"	1033200001801	28.01.2003	241037	 г. Брянск, ул. Ст. Димитрова, д. 3	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110366	"Первичная профсоюзная организация Мглинского филиала государственного унитарного предприятия ""Брянскоблводоканал"" профсоюза работников местной промышленности и коммунально-бытовых предприятий."			243220	Брянская область,Мглинский р-н, г. Мглин,   ул. 1-й пер-к. Первомайский д. 34-а	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110437	Первичная профсоюзная организация муниципального унитарного предприятия Комаричского жилищно-коммунального хозяйства и бытового обслуживания профсоюза рабочих местной промышленности и коммунально-бытовых предприятий.			242400	 ул. Кирова, д. 1	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110613	"Первичная профсоюзная организация Выгоничского филиала ГУП ""Брянскоблэнерго"" Общероссийского профсоюза работников местной промышленности и коммунально-бытовых предприятий."			243360	 Брянская область, Выгоничский р-н,  пос. Выгоничи, ул. Мира, д. 34	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110443	"Первичная профсоюзная организация государственного унитарного предприятия ""Брянскстрой"" профсоюза рабочих местной промышленности и коммунально-бытовых предприятий"	1023200005047		241000	 ул. Калинина, д. 50	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110561	"Первичная профсоюзная организация Акционерного общества открытого типа ""Ржанницкая лыжная фабрика"" Брянской областной организации Общероссийского профсоюза рабочих местной промышленности"			242700	 ЖБрянская область , Жуковский р-н,,  пос. Ржанница, ул. Заводская, д. 1	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110332	"Первичная профсоюзная организация общества с ограниченной ответственностью ""Брянское социально-реабилитационное предприятие Всероссийского общества глухих"" профсоюза работников местной промышленности и коммунально-бытовых предприятий."	1033200008434	10.02.2003	241011	 г. Брянск,  ул. Красноармейская, д.15.	Профессиональный союз	Брянская область	Зарегистрирована			
Общественные объединения	3212110445	"Объединенная профсоюзная организация ""Брянскоблжилкомхоз"" Брянской областной организации Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий"	1033200008060	10.02.2003	241007	г. Брянск  ул. Дуки, д. 78	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110447	"Первичная профсоюзная организация государственного унитарного предприятия ""Стародубские межрайонные инженерные сети"" профсоюза работников местной промышленности и коммунально-бытовых предприятий"	1023200005840	25.12.2002	243240	 ул. Московская, д. 39	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212060038	"Брянское региональное отделение политической партии ""Конституционная партия Российской Федерации"""	1033200003870		241019	" ул. Красноармейская, д. 136 ""а"" офис 1"	Политическая партия	Брянская область	Исключена			
Общественные объединения	3212111104	Первичная профсоюзная организация локомотивного депо Брянск-2 Брянского отделения Московской железной дороги Российского профессионального союза железнодорожников и транспортных строителей	1023200004300	01.01.1800	241020	 г. Брянск, локомотивное депо Брянск-2	Профессиональный союз	Брянская область	Исключена			
Общественные объединения	3212110953	"Первичная профсоюзная организация Брянского ОО УПП ""Электрон"" ВОС Общероссийского профсоюза рабочих местной промышленности и коммунально-бытовых предприятий."			241008	 г. Брянск, ул. Арсенальская, д. 16	Профессиональный союз	Брянская область	Зарегистрирована			
